source,target,graph_geodesic,euclidean_chord,tortuosity,source_label,target_label
703,802,0.916505541936797,0.9165055419368009,0.9999999999999958,703,802
73,115,0.10670947349129667,0.10670947349129667,1.0,73,115
856,381,0.5787823836374053,0.5787823836374071,0.9999999999999969,856,381
167,653,0.0637687204792427,0.0637687204792427,1.0,167,653
859,258,0.020580403148209303,0.020580403148209303,1.0,859,258
284,495,0.6748615053515914,0.6748615053515955,0.9999999999999939,284,495
516,128,0.18206464169292425,0.1820646416929243,0.9999999999999997,516,128
269,443,0.4333992689908636,0.4333992689908643,0.9999999999999984,269,443
283,46,0.6186352190206659,0.6186352190206696,0.9999999999999939,283,46
67,129,0.4494598891331285,0.44945988913312923,0.9999999999999984,67,129
110,514,0.15241207559313572,0.15241207559313572,1.0,110,514
263,572,0.3478998561964497,0.3478998561964503,0.9999999999999982,263,572
103,120,0.03579686418684774,0.03579686418684774,1.0,103,120
37,751,0.669749132954176,0.6697491329541796,0.9999999999999947,37,751
436,455,0.2499834412183822,0.24998344121838217,1.0000000000000002,436,455
867,131,0.3033675291655279,0.30336752916552806,0.9999999999999994,867,131
440,708,0.2937563936305509,0.29375639363055106,0.9999999999999994,440,708
777,744,0.12085195443660707,0.12085195443660707,1.0,777,744
186,76,0.5553540483149062,0.5553540483149083,0.9999999999999962,186,76
295,44,0.6591532291309025,0.6591532291309059,0.9999999999999948,295,44
528,186,0.3721734286817678,0.3721734286817682,0.9999999999999988,528,186
52,295,0.20790691285986254,0.20790691285986254,1.0,52,295
566,549,0.9352591750311574,0.9352591750311612,0.999999999999996,566,549
731,87,0.6103358481380272,0.6103358481380291,0.9999999999999969,731,87
897,233,0.8133231342860953,0.813323134286099,0.9999999999999953,897,233
430,411,0.01818404636156412,0.01818404636156412,1.0,430,411
373,486,0.18539946848851802,0.18539946848851807,0.9999999999999997,373,486
735,367,0.15075859735110833,0.15075859735110833,1.0,735,367
477,603,0.37034595178206375,0.37034595178206375,1.0,477,603
46,673,0.03530835338457988,0.03530835338457988,1.0,46,673
73,458,0.7537753691444304,0.7537753691444338,0.9999999999999956,73,458
785,663,0.49391876943549584,0.4939187694354966,0.9999999999999984,785,663
74,20,0.21148909360387688,0.21148909360387688,1.0,74,20
848,460,0.062505239553937,0.062505239553937,1.0,848,460
246,110,0.23373585053841064,0.23373585053841064,1.0,246,110
29,103,0.8152135071848612,0.8152135071848662,0.9999999999999939,29,103
219,44,0.43288091009152,0.43288091009152,1.0,219,44
98,655,0.19900260553363847,0.19900260553363858,0.9999999999999994,98,655
759,233,0.26653428942500235,0.26653428942500235,1.0,759,233
292,297,0.195078115726039,0.195078115726039,1.0,292,297
691,377,0.20507618528669647,0.20507618528669647,1.0,691,377
210,364,0.4101400131855127,0.410140013185513,0.9999999999999992,210,364
571,425,0.0036191694623264326,0.0036191694623264326,1.0,571,425
781,382,0.31778967653140566,0.317789676531406,0.999999999999999,781,382
722,180,0.4797216980018345,0.47972169800183473,0.9999999999999996,722,180
646,586,0.08586173385407347,0.08586173385407347,1.0,646,586
737,57,0.1282619930943003,0.1282619930943003,1.0,737,57
56,222,0.7130144719061924,0.7130144719061945,0.999999999999997,56,222
334,596,0.06039293360649317,0.06039293360649317,1.0,334,596
229,683,0.7561929776081768,0.7561929776081795,0.9999999999999964,229,683
373,580,0.09066207067252646,0.09066207067252646,1.0,373,580
423,678,0.5031765674874005,0.5031765674874014,0.9999999999999982,423,678
215,356,0.0012045070277355019,0.0012045070277355019,1.0,215,356
335,627,0.023896093486913572,0.023896093486913572,1.0,335,627
650,303,0.5798882158025264,0.5798882158025281,0.9999999999999969,650,303
585,509,0.3044866232140512,0.3044866232140515,0.9999999999999989,585,509
620,865,0.41718308359250555,0.4171830835925063,0.9999999999999982,620,865
93,575,0.6528289566915528,0.6528289566915567,0.999999999999994,93,575
452,228,0.22704435689098013,0.22704435689098026,0.9999999999999993,452,228
643,372,0.1313281834946996,0.1313281834946996,1.0,643,372
640,645,0.5239495507883818,0.5239495507883828,0.9999999999999981,640,645
482,28,0.5214321860298294,0.5214321860298307,0.9999999999999977,482,28
283,734,0.04271226840467962,0.04271226840467962,1.0,283,734
648,64,0.3616332144587482,0.3616332144587485,0.9999999999999991,648,64
874,71,0.2730672678242126,0.27306726782421264,0.9999999999999998,874,71
796,110,0.24189624833494516,0.24189624833494516,1.0,796,110
152,468,0.44827922485359806,0.44827922485359806,1.0,152,468
543,863,0.20326288081494542,0.20326288081494548,0.9999999999999998,543,863
575,387,0.6334433771077986,0.6334433771078002,0.9999999999999976,575,387
85,384,0.7996772847766933,0.7996772847766971,0.9999999999999952,85,384
